0xff04978c,_avsChk_FW
0xff020c48,ClearFactoryMasterROMProtection_FW
0xff020a84,ClearFactoryMode_FW
0xff0690f0,ClearISCalcZData_FW
0xff355d4c,ClearISIComponent_FW
0xff355d70,ClearISZData_FW
0xff400d88,ClearPMByFs_FW
0xff400d70,ClearPMByGpio_FW
0xff3df034,ClearZoomCommonDriveParam_FW
0xff1b2f50,ClearZoomDriveParam_FW
0xff021cb0,Close
0xff005bf8,close
0xff021cb0,Close_FW
0xff00ad6c,CloseConsole_FW
0xff32fd74,closedir
0xff35515c,CloseMechaShutter_FW
0xff3551a4,CloseMechaShutterWithTiming_FW
0xff3dd2c4,CloseMShutter_FW
0xff3565ac,CommunicateMechaCPU_FW
0xff30e344,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xff30e2f8,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xff3ddd08,ConvertApexStdToApex_FW
0xff3ddcd8,ConvertApexToApexStd_FW
0xff3de29c,ConvertCxCyToWBGain_FW
0xff3df310,ConvertToPositionWithDistance_FW
0xff3df2ec,ConvertToPositionWithDistanceAndZoomPoint_FW
0xff3dcc10,ConvertTvToExposureTime_FW
0xff00aad0,CPrintf_FW
0xff00ab28,CPutChar_FW
0xff0556b4,CreateAdjustmentTableMirror_FW
0x0068a824,CreateBinarySemaphore
0x0068ae54,CreateBinarySemaphoreStrictly
0xff085194,CreateController_FW
0x0068a88c,CreateCountingSemaphore
0x0068a88c,CreateCountingSemaphore_FW
0x0068ae78,CreateCountingSemaphoreStrictly
0xff0556c4,CreateDefectTableMirror_FW
0x0068b678,CreateEventFlag
0x0068ae30,CreateEventFlagStrictly
0xff17e644,CreateFADBGSingalID_FW
0xff3e664c,CreateJumptable
0x0068bad0,CreateMessageQueue
0x0068ae0c,CreateMessageQueueStrictly
0xff07cd4c,CreateProxyOfEventProcedure_FW
0x0068be94,CreateRecursiveLock
0x0068ae9c,CreateRecursiveLockStrictly
0x0068ab00,CreateTask
0x0068ab00,CreateTask_FW
0x0068add8,CreateTaskStrictly
0xff2a393c,CrossDefDetect_FW
0xff085414,CtrlMan_ChangeZOrder_FW
0xff1a9f54,CzDebugPrint_FW
0xff1a9f68,CzDebugPrintToFile_FW
0xff01d97c,Dcdc_Bl_Pwr_Ctrl_FW
0xff01de68,Dcdc_Down_Avs_Voltage_Step_FW
0xff01ddfc,Dcdc_Get_Avs_Voltage_Step_FW
0xff01dbb8,Dcdc_Rtc_Set_Timer_Reg_FW
0xff01dd70,Dcdc_Set_Avs_Voltage_Step_FW
0xff01df1c,Dcdc_Up_Avs_Voltage_Step_FW
0x0068afd8,DebugAssert
0xff356368,DelaySet_FW
0xff085270,DeleteController_FW
0xff0216b0,DeleteDirectory_Fut
0x0068b6d0,DeleteEventFlag
0xff02163c,DeleteFile_Fut,(stubs_entry_2.s)
0x0068bb54,DeleteMessageQueue
0xff07cda4,DeleteProxyOfEventProcedure_FW
0x0068bee4,DeleteRecursiveLock
0x0068a8e4,DeleteSemaphore
0x0068a8e4,DeleteSemaphore_FW
0xff3e64ac,DevelopStillPicture_FW
0xff2a3f4c,DevelopTool.DevelopTest_FW
0xff17e2e0,DeviceUniqueIDCheckSum_FW
0xff181188,DisableDebugLogMode_FW
0xff356098,DisableDISModeChange_FW
0xff35482c,DisableFocusLens_FW
0xff3548a8,DisableFocusLensGainLock_FW
0xff3548d4,DisableFocusLensWaveLock_FW
0xff355030,DisableFocusPiCircuit_FW
0xff354d7c,DisableIris_FW
0xff33f2dc,DisableIrisActuator_FW
0xff355e1c,DisableISAutoGyroOffset_FW
0xff355dfc,DisableISDriveError_FW
0xff354f88,DisableLensError_FW
0xff356138,DisableMacroIS_FW
0xff355010,DisableMechaCircuit_FW
0xff355078,DisableZoomEncoderCircuit_FW
0xff355620,DisableZoomLensElectricControl_FW
0xff3552dc,DisableZoomLensEncoderPowerControl_FW
0xff3555f8,DisableZoomLensSpeedControl_FW
0xff355054,DisableZoomPiCircuit_FW
0xff047f70,DispCon_GetLcdGainAdjParameter_FW
0xff047d94,DispCon_GetVideoAdjParameter_FW
0xff047fbc,DispCon_SaveLcdGainAdjParameter_FW
0xff047e34,DispCon_SaveVideoAdjParameter_FW
0xff0478e0,DispCon_SetDisplayType_FW
0xff047eb0,DispCon_SetLcdGainAdjParameter_FW
0xff047c9c,DispCon_SetMaxBackLightBrightness_FW
0xff047d1c,DispCon_SetVideoAdjParameter_FW
0xff047804,DispCon_ShowBitmapColorBar
0xff047804,DispCon_ShowBitmapColorBar_FW
0xff0477e8,DispCon_ShowBlackChart_FW
0xff0475b8,DispCon_ShowColorBar_FW
0xff047900,DispCon_ShowColorChart_FW
0xff047874,DispCon_ShowCustomColorBar_FW
0xff047644,DispCon_ShowFiveStep_FW
0xff047fd8,DispCon_ShowHdChart_FW
0xff047fac,DispCon_ShowLcdGainAdjParameter_FW
0xff047ae0,DispCon_ShowNStepsChart_FW
0xff047dfc,DispCon_ShowVideoAdjParameter_FW
0xff047794,DispCon_ShowWhiteChart_FW
0xff047924,DispCon_ShowWhiteLine_FW
0xff047c8c,DispCon_TurnOffBackLight_FW
0xff047c6c,DispCon_TurnOffDisplay_FW
0xff047c7c,DispCon_TurnOnBackLight_FW
0xff047c5c,DispCon_TurnOnDisplay_FW
0xff1bbd08,DispDev.Create_FW
0xff1b9760,DispDev_EnableEventProc_FW
0xff020670,DisplayFactoryMode_FW
0xff023cbc,DoAELock
0xff02390c,DoAFLock
0xff1b98e0,Driver.Create_FW
0xff1b98e0,Driver_EnableEventProc_FW
0xff00430c,drysh_FW
0xff3563dc,DspDataTranster_FW
0xff3563ec,DspProgTranster_FW
0xff1b9d3c,Dump32_FW
0xff1b9d2c,Dump_FW
0xff054d70,DumpAdjMirror_FW
0xff30e8ac,DumpTransparentMemoryItem_FW
0xff1119d8,E2LatOn_FW
0xff2d49b8,EdidDump_FW
0xff2d49b4,EdidView_FW
0xff2ad8c4,EF.AdjPreFlash_FW
0xff0de27c,EF.IsChargeFull_FW
0xff2ad900,EF.SetChargeMode_FW
0xff2ad7e0,EF.SetEFChargeTimeOut_FW
0xff2ad914,EF.SetFlashTime_FW
0xff2ad8ac,EF.SetMainFlashTime_FW
0xff2ad784,EF.StartEFCharge_FW
0xff2ad828,EF.StartInternalMainFlash_FW
0xff2ad7f4,EF.StartInternalPreFlash_FW
0xff2ad7d0,EF.StopEFCharge_FW
0xff1c9508,EFUSE_GetVdlData_FW
0xff1c90d8,EFUSE_ReadData_FW
0xff181174,EnableDebugLogMode_FW
0xff3560a8,EnableDISModeChange_FW
0xff3547e0,EnableFocusLens_FW
0xff35487c,EnableFocusLensGainLockWithVoltage_FW
0xff3548b8,EnableFocusLensWaveLock_FW
0xff355020,EnableFocusPiCircuit_FW
0x0068a81c,EnableInterrupt
0xff354d58,EnableIris_FW
0xff33f2b8,EnableIrisActuator_FW
0xff355e0c,EnableISAutoGyroOffset_FW
0xff355dec,EnableISDriveError_FW
0xff354f78,EnableLensError_FW
0xff356128,EnableMacroIS_FW
0xff355000,EnableMechaCircuit_FW
0xff355068,EnableZoomEncoderCircuit_FW
0xff35560c,EnableZoomLensElectricControl_FW
0xff3552cc,EnableZoomLensEncoderPowerControl_FW
0xff3555e4,EnableZoomLensSpeedControl_FW
0xff355044,EnableZoomPiCircuit_FW
0xff147880,EngApp.Create_FW
0xff1bc4fc,EngApp.CreatePub_FW
0xff14782c,EngApp.Delete_FW
0xff02044c,EngDrvBits
0xff301dbc,EngDrvBits_FW
0xff020430,EngDrvIn
0xff301dac,EngDrvIn_FW
0xff020418,EngDrvOut
0xff301d90,EngDrvOut_FW
0xff020438,EngDrvRead
0xff301db4,EngDrvRead_FW
0xff301de0,EngDrvReadDump_FW
0xff1bc4b4,EngineDriver.Create_FW
0xff023bb0,EnterToCompensationEVF
0xff054d44,EraseAdjustmentArea_FW
0xff1c2e4c,EraseLogSector_FW
0xff079dec,EraseRom_FW
0xff1b9d18,EraseSignature_FW
0xff004388,err_init_task
0xff353df4,EscapeFocusLens_FW
0xff358378,exec_FW
0xff30e424,ExecuteAvs_FW
0xff05b120,Executedccd_FW
0xff2a3e58,ExecuteDefectRec_FW
0xff2a3e6c,ExecuteDefectRecAndSaveImage_FW
0xff05a9fc,ExecuteDigicon_FW
0xff07c400,ExecuteEventProcedure
0xff07c478,ExecuteEventProcedure_FW
0xff3e2494,ExecuteInternalPreFlash_FW
0xff1f428c,ExecuteResetFactory_FW
0xff1f4274,ExecuteResetFactoryWithRomWrite_FW
0xff079a1c,ExecuteShutDownPropertyService_FW
0xff05a03c,ExecuteTestRec_FW
0xff05a050,ExecuteTestRecCF_FW
0xff05a0cc,ExecuteTestRecDevelopProcess_FW
0xff05a050,ExecuteTestRecSD_FW
0xff05a080,ExecuteTestRecSw1_FW
0xff05a068,ExecuteTestRecWithInteg_FW
0xff023bf4,ExitFromCompensationEVF
0x0068ad90,ExitTask
0x0068ad90,ExitTask_FW
0xff07ae3c,ExMem.AllocCacheable_FW
0xff07ac88,ExMem.AllocUncacheable_FW
0xff07aec4,ExMem.FreeCacheable_FW
0xff07adc0,ExMem.FreeUncacheable_FW
0xff07a7ac,ExMem.View_FW
0xff07add4,exmem_alloc
0xff07ae4c,exmem_free
0xff0223fc,ExMem_FW
0xff0b7150,ExpCtrlTool.SetExpMode_FW
0xff02ee68,ExpCtrlTool_StartContiAE
0xff02efb8,ExpCtrlTool_StopContiAE
0xff07cd40,ExportToEventProcedure_FW
0xff1bbce4,FA.Create_FW
0xff1bbcd0,FA.Delete_FW
0xff17e6f4,FADBGPrintf_FW
0xff17e654,FADBGSingal_FW
0xff17e874,FAPrintf_FW
0xff021748,Fclose_Fut
0xff021748,Fclose_Fut_FW
0xff021934,Feof_Fut
0xff021970,Fflush_Fut
0xff02189c,Fgets_Fut
0xff192fa8,File.ClearExifInfo_FW
0xff193150,File.Create_FW
0xff1930e8,File.Delete_AllImg_FW
0xff3563cc,FirmTranster_FW
0xff3e29e8,FixAEWithCompensation_FW
0xff1db36c,FmtMenu_ExecuteQuickFormat_FW
0xff3e28a8,FocusAEWithCompensation_FW
0xff021708,Fopen_Fut
0xff021708,Fopen_Fut_FW
0xff0217f4,Fread_Fut
0xff0217f4,Fread_Fut_FW
0xff002f84,free
0xff358304,FreeMemory
0xff358304,FreeMemory_FW
0xff02574c,FreeUncacheableMemory
0xff0218e8,Fseek_Fut
0xff0218e8,Fseek_Fut_FW
0xff021848,Fwrite_Fut
0xff021848,Fwrite_Fut_FW
0xff356304,GetAccelX_atMechaCpu_FW
0xff356320,GetAccelY_atMechaCpu_FW
0xff35633c,GetAccelZ_atMechaCpu_FW
0xff0490c8,GetAdChValue_FW
0xff3e0bb4,GetAdjAFInteg_FW
0xff055fd0,GetAdjDataAreaAddress_FW
0xff054e9c,GetAdjTableMapVersion_FW
0xff054eac,GetAdjTableValueVersion_FW
0xff054d94,GetAdjTableVersion_FW
0xff055fac,GetAdjustmentOffset_FW
0xff0490c0,GetAdVBattBottom_FW
0xff17d21c,GetAEIntegralServiceMode_FW
0xff17d328,GetAEIntegralValueWithFix_FW
0xff17d674,GetAEIntegValueBit_FW
0xff17d228,GetAEIntegWinData_FW
0xff17d23c,GetAEIntegWinDataWithMode_FW
0xff17d44c,GetAllAEIntegralAllValueWithFix_FW
0xff1b03a4,GetAutoPopupStrobeCurrentStatus_FW
0xff1b09d4,GetAutoPopupStrobePiSectionTime_FW
0xff01f598,GetBatteryCoverClose_FW
0xff0523ac,GetBatteryTemperature
0xff0523ac,GetBatteryTemperature_FW
0xff055e94,GetBpDBAdjustmentOffset_FW
0xff07f198,GetBuildDate_FW
0xff07f1a0,GetBuildTime_FW
0xff30e5a4,GetCameraInformationData_FW
0xff3e60b0,GetCaptureInfoData_FW
0xff052338,GetCCDTemperature
0xff052338,GetCCDTemperature_FW
0xff3dbfe0,GetCdsGainValue_FW
0xff3dc0fc,GetCdsPreGainReg_FW
0xff00ab50,GetCh_FW
0xff3563fc,GetCheckSum_FW
0xff3e3ff8,GetContinuousMovieJpegVRAMData_FW
0xff3e3698,GetContinuousVRAMData_FW
0xff3e3e34,GetContinuousVRAMDataWithRingBuffer_FW
0xff3dcb6c,GetCrwImageInfo_FW
0xff30e2cc,GetCurrentAdjImgDriveType_FW
0xff3dcef0,GetCurrentAvCoefficient_FW
0xff1ad358,GetCurrentAvValue
0xff1ad358,GetCurrentAvValue_FW
0xff091568,GetCurrentCaptureModeType_FW
0xff30e55c,GetCurrentCcdTemp_FW
0xff3dc11c,GetCurrentDriveBaseSvValue_FW
0xff0a71b0,GetCurrentExposureTime_FW
0xff1ab318,GetCurrentFocusLensPosition_FW
0xff1ab318,GetCurrentFocusPosition_FW
0xff30e2d8,GetCurrentImgDrvMode_FW
0xff1ad530,GetCurrentIrisPosition_FW
0xff17ed4c,GetCurrentMaximumLogSize_FW
0xff30e578,GetCurrentOptTemp_FW
0xff0a6eb4,GetCurrentShutterSpeed_FW
0xff1ab2b0,GetCurrentTargetDistance_FW
0xff3de5e0,GetCurrentZoomLensDirection_FW
0xff1b13fc,GetCurrentZoomLensPoint_FW
0xff1b134c,GetCurrentZoomLensPosition_FW
0xff1b13fc,GetCurrentZoomPoint_FW
0xff1b134c,GetCurrentZoomPosition_FW
0xff353cb8,GetCZMovieDefaultSpeed_FW
0xff353ca0,GetCZMovieHighSpeed_FW
0xff353ca8,GetCZMovieLowSpeed_FW
0xff353cb0,GetCZStillDefaultSpeed_FW
0xff353c90,GetCZStillHighSpeed_FW
0xff353c98,GetCZStillLowSpeed_FW
0xff1b9c64,GetDateAndTime_FW
0xff3e46bc,GetDay_FW
0xff055e9c,GetDccdAdjustmentOffset_FW
0xff05b334,GetdccdFilterValue_FW
0xff05b198,GetdccdImage_FW
0xff055b90,GetDCPAdjOffset_FW
0xff2a3b34,GetDefectCrawInfo_FW
0xff2a3bc4,GetDefectHistgramInfo_FW
0xff2a3bfc,GetDefectTvAdj_FW
0xff01f58c,GetDialEventId_FW
0xff06959c,GetDISModeParameter_FW
0xff356078,GetDISModeParamType_FW
0xff06093c,GetDrive_ClusterSize
0xff060994,GetDrive_FreeClusters
0xff06096c,GetDrive_TotalClusters
0xff140944,GetDriverInfoEvent_FW
0xff30e53c,GetEFuseData_FW
0x0068b9c0,GetEventFlagValue
0xff3e239c,GetExStrobeID_FW
0xff1590e0,GetFaceAuthBinAddr_FW
0xff1590e8,GetFaceAuthBinSize_FW
0xff07f1a8,GetFirmwareVersion_FW
0xff069764,GetFixedPWMOutA_FW
0xff069770,GetFixedPWMOutB_FW
0xff1ab83c,GetFocusDefaultResetPosition_FW
0xff33e41c,GetFocusLensCurrentPosition_FW
0xff33e420,GetFocusLensDriveVoltage_FW
0xff33e4f8,GetFocusLensHoldVoltage_FW
0xff354998,GetFocusLensLoadCamTable_FW
0xff35491c,GetFocusLensLoadSubjectDistance_FW
0xff354a80,GetFocusLensMoveMaxPosition_FW
0xff354a98,GetFocusLensMoveMinPosition_FW
0xff354ab4,GetFocusLensMoveRangeOfTelePoint_FW
0xff354914,GetFocusLensPositionRatio_FW
0xff1aaf90,GetFocusLensPullInMaxSpeed_FW
0xff33dbd4,GetFocusLensResetDefaultPosition_FW
0xff33dbc4,GetFocusLensResetPosition_FW
0xff401e34,GetFocusLensResetVoltage_FW
0xff33e4ac,GetFocusLensSettingWaitVoltage_FW
0xff1ab2b0,GetFocusLensSubjectDistance
0xff3548f0,GetFocusLensSubjectDistance_FW
0xff1ab700,GetFocusLensSubjectDistanceFromLens
0xff35490c,GetFocusLensSubjectDistanceNumber_FW
0xff1aefac,GetFocusPiSensorLevel_FW
0xff1ab7d0,GetFocusResetPosition_FW
0xff067938,GetFocusStartZoomPosition_FW
0xff3dcd64,GetFrameRateWithApex_FW
0xff068fb4,GetGyro10BitDACPitch_FW
0xff068fc0,GetGyro10BitDACYaw_FW
0xff068f64,GetGyroDataPitch_FW
0xff068f80,GetGyroDataYaw_FW
0xff355b18,GetGyroFilterCharge_FW
0xff3e85e4,GetGyroFilterChargeStatus_FW
0xff068fec,GetGyroHPFINOffsetPitch_FW
0xff069008,GetGyroHPFINOffsetYaw_FW
0xff069024,GetGyroHPFINPitch_FW
0xff069080,GetGyroHPFINYaw_FW
0xff3e46e4,GetHour_FW
0xff189188,getImageDirName
0xff18722c,GetImageFolder
0xff07f218,GetInternalFirmwareVersion_FW
0xff1ad358,GetIrisAv_FW
0xff1ad530,GetIrisCurrentPosition_FW
0xff34080c,GetIrisDriveVoltage_FW
0xff34081c,GetIrisDriveVoltageLow_FW
0xff34086c,GetIrisHoldVoltage_FW
0xff3dd078,GetIrisPRResetPosition_FW
0xff34084c,GetIrisSettingWaitVoltage_FW
0xff33f6ec,GetIrisSpecClosePosition_FW
0xff33f6dc,GetIrisSpecOpenPosition_FW
0xff3560f0,GetISCenterShiftA_FW
0xff35610c,GetISCenterShiftB_FW
0xff355fc4,GetISCrossTalkComp_FW
0xff3e8688,GetISCrossTalkCompCoeff_FW
0xff355794,GetISDriveAaxis_FW
0xff3557b4,GetISDriveBaxis_FW
0xff355b38,GetISFirmVersion_FW
0xff068fb4,GetISGyro10BitDACPitch_FW
0xff068fc0,GetISGyro10BitDACYaw_FW
0xff068f64,GetISGyroDataPitch_FW
0xff068f80,GetISGyroDataYaw_FW
0xff3558ec,GetISGyroGainAaxis_FW
0xff355a14,GetISGyroGainBaxis_FW
0xff355a34,GetISGyroGainbyAxisType_FW
0xff068fec,GetISGyroHPFINOffsetPitch_FW
0xff069008,GetISGyroHPFINOffsetYaw_FW
0xff069024,GetISGyroHPFINPitch_FW
0xff069080,GetISGyroHPFINYaw_FW
0xff068f10,GetISGyroPitchGain_FW
0xff3e7cc4,GetISGyroPitchOffset_FW
0xff068f1c,GetISGyroYawGain_FW
0xff3e7cbc,GetISGyroYawOffset_FW
0xff355e40,GetISHallAmpFirstGain_FW
0xff068eec,GetISHallDevicePitchGain_FW
0xff3e7da4,GetISHallDevicePitchOffset_FW
0xff068ef8,GetISHallDeviceYawGain_FW
0xff3e7d9c,GetISHallDeviceYawOffset_FW
0xff355880,GetISHallGainAaxis_FW
0xff3558a0,GetISHallGainBaxis_FW
0xff3558c0,GetISHallGainbyAxisType_FW
0xff355814,GetISHallOffsetAaxis_FW
0xff355834,GetISHallOffsetBaxis_FW
0xff355854,GetISHallOffsetbyAxisType_FW
0xff3e8098,GetISHallOffsetDACValue_FW
0xff355d80,GetISHallOut1Amp_FW
0xff069d9c,GetISLensCorrectedEViAaxis_FW
0xff069db8,GetISLensCorrectedEViBaxis_FW
0xff069cd4,GetISLensDampAaxis_FW
0xff069ce0,GetISLensDampBaxis_FW
0xff069d04,GetISLensEViAaxis_FW
0xff069d80,GetISLensEViBaxis_FW
0xff355b88,GetISParamVersion_FW
0xff068f34,GetISPitchPWM_FW
0xff3557d4,GetISPositionAaxis_FW
0xff3557f4,GetISPositionBaxis_FW
0xff068f4c,GetISShiftLensPitchPosition_FW
0xff068f58,GetISShiftLensYawPosition_FW
0xff068f40,GetISYawPWM_FW
0xff04dce8,GetKbdState
0xff3e4be4,GetLastVBatADLevel_FW
0xff147544,GetLatestHVPosition_FW
0xff01f590,GetLcdPosition_FW
0xff1ad8a0,GetLensErrorStatus_FW
0xff17ecf0,GetLogData_FW
0xff17ecf8,GetLogDataOnlyAddMemory_FW
0xff1c2e10,GetLogToFile_FW
0xff3e8580,GetLoopGain_FW
0xff355f90,GetLoopGainAdjValue_FW
0xff355e9c,GetLoopGainCalcData_FW
0xff355d08,GetLPFParallelBest_FW
0xff3562a4,GetMacroISAngleAndVelocityA_FW
0xff3562d4,GetMacroISAngleAndVelocityB_FW
0xff3e87b4,GetMacroISEstimateRadius_FW
0xff3e87bc,GetMacroISEstimateVelocity_FW
0xff356178,GetMacroISEstimRadiusA_FW
0xff356218,GetMacroISEstimRadiusB_FW
0xff3e8788,GetMacroISGain_FW
0xff356244,GetMacroISGainA_FW
0xff356260,GetMacroISGainB_FW
0xff037234,GetMacroSupportZoomPoint_FW
0xff355b60,GetMechaDSPVersion_FW
0xff3551f8,GetMechaShutterCloseDacSetting_FW
0xff1b00c8,GetMechaShutterMoveTime_FW
0xff355248,GetMechaShutterOpenDacSetting_FW
0xff1b00f0,GetMechaShutterStatus_FW
0xff0052e0,GetMemInfo
0xff3e470c,GetMinute_FW
0xff3e4690,GetMonth_FW
0xff03fe4c,GetMovieJpegVRAMHPixelsSize_FW
0xff03fe58,GetMovieJpegVRAMVPixelsSize_FW
0x0068be28,GetNumberOfPostedMessages
0xff3dc050,GetObClampValue_FW
0xff17d51c,GetOnlyAEIntegData_FW
0xff052420,GetOpticalTemperature
0xff052420,GetOpticalTemperature_FW
0xff1f3f4c,GetParameterData
0xff3e3d90,GetPixelsOfViewangle_FW
0xff055fb4,GetProductID_FW
0xff080520,GetPropertyCase
0xff079e9c,GetRomID_FW
0xff01f560,GetSDDetect_FW
0xff01f568,GetSDProtect
0xff01f568,GetSDProtect_FW
0xff3e4734,GetSecond_FW
0xff0854ac,GetSelfControllerHandle_FW
0x0068aa98,GetSemaphoreValue
0xff3dc114,GetSensorPreGain_FW
0xff3dcd10,GetShutterSpeedRegularMaxLimit_FW
0xff3dcd28,GetShutterSpeedRegularMinLimit_FW
0x0068a7f8,GetSRAndDisableInterrupt
0xff00aba0,GetStringWithPrompt_FW
0xff342f0c,GetStrobePopUpActuatorCurrentState_FW
0xff1b0cc4,GetStrobePopUpSectionTime_FW
0xff3e35ac,GetSumYOfVRAMCenterLine_FW
0xff01f4f4,GetSwitchStatus_FW
0xff358364,GetSystemTime
0xff358364,GetSystemTime_FW
0xff058c50,GetTestRecCrawAddress_FW
0x0068f980,GetTimeOfSystem_FW
0xff30e98c,GetTransparentMemory_FW
0xff30e9d0,GetTransparentMemoryPosition_FW
0xff30e97c,GetTransparentMemorySize_FW
0xff3e6058,GetUnpackCrwIntegralMultiValueForShading_FW
0xff3e5c88,GetUnpackCrwIntegralValue_FW
0xff3e5f0c,GetUnpackCrwIntegralValueForColorShading_FW
0xff3e5ca4,GetUnpackCrwIntegralValueForShading_FW
0xff3dd190,GetUsableMaxAv_FW
0xff3dd178,GetUsableMinAv_FW
0xff3dcd00,GetUserSetShutterSPeed_FW
0xff01d0f0,GetVBatVoltage_FW
0xff3e2f48,GetVideoOutType_FW
0xff03fe34,GetVRAMHPixelsSize
0xff03fe34,GetVRAMHPixelsSize_FW
0xff03fe40,GetVRAMVPixelsSize
0xff03fe40,GetVRAMVPixelsSize_FW
0xff3e4660,GetYear_FW
0xff3449c0,GetZoomActuatorCurrentPosition_FW
0xff344994,GetZoomActuatorSpeedPPS_FW
0xff3dee74,GetZoomDefaultCommonDriveParam_FW
0xff3ded78,GetZoomDefaultDriveParam_FW
0xff1b1fe4,GetZoomDrivingTime_FW
0xff1b13fc,GetZoomLensCurrentPoint
0xff1b13fc,GetZoomLensCurrentPoint_FW
0xff345770,GetZoomLensCurrentPosition
