0x003f67bc,RegisterInterruptHandler
0xff84be6c,GetMovieJpegVRAMVPixelsSize_FW
0xff84bf38,StopContinuousVRAMData_FW
0xff852d00,DispCon_ShowColorBar_FW
0xff852d58,DispCon_ShowFiveStep_FW
0xff852e38,DispCon_ShowWhiteChart_FW
0xff852e70,DispCon_ShowBlackChart_FW
0xff852e8c,DispCon_ShowBitmapColorBar
0xff852e8c,DispCon_ShowBitmapColorBar_FW
0xff852ee8,DispCon_ShowCustomColorBar_FW
0xff852f3c,DispCon_SetDisplayType_FW
0xff852f5c,DispCon_ShowColorChart_FW
0xff852f80,DispCon_ShowWhiteLine_FW
0xff85313c,DispCon_ShowNStepsChart_FW
0xff8532ac,DispCon_TurnOnDisplay_FW
0xff8532ac,TurnOnDisplay
0xff8532bc,DispCon_TurnOffDisplay_FW
0xff8532bc,TurnOffDisplay
0xff8532cc,DispCon_TurnOnBackLight_FW
0xff8532dc,DispCon_TurnOffBackLight_FW
0xff8532ec,DispCon_SetMaxBackLightBrightness_FW
0xff85336c,DispCon_SetVideoAdjParameter_FW
0xff8533d8,DispCon_GetVideoAdjParameter_FW
0xff853434,DispCon_ShowVideoAdjParameter_FW
0xff853460,DispCon_SaveVideoAdjParameter_FW
0xff8534dc,DispCon_SetLcdGainAdjParameter_FW
0xff8535a0,DispCon_GetLcdGainAdjParameter_FW
0xff8535dc,DispCon_ShowLcdGainAdjParameter_FW
0xff8535ec,DispCon_SaveLcdGainAdjParameter_FW
0xff854764,GetAdVBattBottom_FW
0xff85476c,GetAdChValue_FW
0xff85574c,task_BeepTask
0xff855acc,BeepDrive_FW
0xff855aec,BeepDriveComp_FW
0xff855d6c,task_LEDCon
0xff8565e8,kbd_read_keys_r2
0xff856acc,GetKbdState
0xff856df4,task_AudioTsk
0xff857418,TurnOnVideoOutMode_FW
0xff85747c,TurnOffVideoOutMode_FW
0xff858290,task_FWDDATA
0xff858abc,task_Thermometer
0xff858cb4,GetCCDTemperature
0xff858cb4,GetCCDTemperature_FW
0xff858d28,GetBatteryTemperature
0xff858d28,GetBatteryTemperature_FW
0xff858d9c,GetOpticalTemperature
0xff858d9c,GetOpticalTemperature_FW
0xff858e4c,IsOpticalTemperature_FW
0xff858e80,IsCCDTemperature_FW
0xff858eb4,IsBatteryTemperature_FW
0xff858f04,j_GetOpticalTemperature_FW
0xff858f08,j_GetCCDTemperature_FW
0xff858f0c,j_GetBatteryTemperature_FW
0xff858f10,j_IsOpticalTemperature_FW
0xff858f14,j_IsCCDTemperature_FW
0xff858f18,j_IsBatteryTemperature_FW
0xff85b00c,EraseAdjustmentArea_FW
0xff85b038,DumpAdjMirror_FW
0xff85b05c,GetAdjTableVersion_FW
0xff85b090,GetAdjTableMapVersion_FW
0xff85b0a0,GetAdjTableValueVersion_FW
0xff85b0b4,ShowDefaultAdjTableVersion_FW
0xff85b218,LoadAdjustmentTable_FW
0xff85b250,LoadDefectAdjTable_FW
0xff85b598,SaveAdjustmentTable_FW
0xff85b600,SaveDefectAdjTable_FW
0xff85b618,SaveAdjustmentValue_FW
0xff85b64c,LoadAdjustmentValue_FW
0xff85b670,PrintAdjTableMap_FW
0xff85b90c,CreateAdjustmentTableMirror_FW
0xff85b914,RefreshAdjustmentTableMirror_FW
0xff85b91c,CreateDefectTableMirror_FW
0xff85b924,RefreshDefectTableMirror_FW
0xff85b92c,PrintAdjKabotanInfo_FW
0xff85b9b8,WRITEADJTABLETOFROM_FW
0xff85b9ec,WRITEADJUSTMENTDATATOFROM_FW
0xff85bdf4,GetDCPAdjOffset_FW
0xff85c114,GetBpDBAdjustmentOffset_FW
0xff85c11c,GetDccdAdjustmentOffset_FW
0xff85c22c,GetAdjustmentOffset_FW
0xff85c234,GetProductID_FW
0xff85c250,GetAdjDataAreaAddress_FW
0xff85eec0,GetTestRecCrawAddress_FW
0xff85ff34,InitializeTestRec_FW
0xff85ffa0,TerminateTestRec_FW
0xff86023c,ExecuteTestRec_FW
0xff860250,ExecuteTestRecCF_FW
0xff860250,ExecuteTestRecSD_FW
0xff860268,ExecuteTestRecWithInteg_FW
0xff860280,ExecuteTestRecSw1_FW
0xff8602cc,ExecuteTestRecDevelopProcess_FW
0xff8609d8,CalculateTestRecYUVData_FW
0xff860a40,SetTestRecSkimmingYUV_FW
0xff860acc,Initializedccd_FW
0xff860acc,InitializeDigicon_FW
0xff860b94,Terminatedccd_FW
0xff860b94,TerminateDigicon_FW
0xff860c00,ExecuteDigicon_FW
0xff860e0c,ResetRegistNoticeCBR_FW
0xff861328,Executedccd_FW
0xff8613a0,GetdccdImage_FW
0xff86153c,GetdccdFilterValue_FW
0xff861610,RegistFirmScanNoticeCBR_FW
0xff863688,task_FsIoNotifyTask
0xff866814,GetDrive_ClusterSize
0xff866844,GetDrive_TotalClusters
0xff86686c,GetDrive_FreeClusters
0xff866aa4,MakeSDCardBootable
0xff866bbc,task_SD1stInit
0xff86953c,task_ImgPlayDrv
0xff86a67c,task_RedEyeCapt
0xff86ac40,task_LensController
0xff86c3b8,IsLensOutside_FW
0xff86c3dc,GetFocusStartZoomPosition_FW
0xff86c674,PT_CompletePreCapt_FW
0xff86c67c,PT_RecreviewAvailable_FW
0xff86c684,PT_NextShootAvailable_FW
0xff86c68c,PT_CompleteStopZoom_FW
0xff86c694,PT_CompleteStopDigZoom_FW
0xff86c69c,PT_CompleteStoreLens_FW
0xff86c6a4,PT_MovieRecordStopped_FW
0xff86c6ac,PT_CompleteCaptModeChange_FW
0xff86c6b4,PT_CompleteSynchroWrite_FW
0xff86c6bc,PT_CompleteCharge_FW
0xff86c6c4,PT_CompleteFileWrite_FW
0xff86c6cc,PT_ShootPicture_FW
0xff86c6d4,PT_EraseAllFile_FW
0xff86c76c,PT_mod_FW
0xff86c790,PT_SetPropertyCaseInt_FW
0xff86c7b8,PT_GetPropertyCaseInt_FW
0xff86c830,PT_MoveOpticalZoomToTele_FW
0xff86c844,PT_MoveOpticalZoomToWide_FW
0xff86c858,PT_MoveOpticalZoomAt
0xff86c858,PT_MoveOpticalZoomAt_FW
0xff86c870,PT_MoveDigitalZoomToTele_FW
0xff86c880,PT_MoveDigitalZoomToWide
0xff86c880,PT_MoveDigitalZoomToWide_FW
0xff86c890,PT_MoveDigitalZoomAt_FW
0xff86c8a4,PT_GetDigitalZoomTele_FW
0xff86c8b8,j_PT_GetDigitalZoomPosition_FW
0xff86c8bc,PT_ChangeZoomSpeed_FW
0xff86c8d0,PT_DoAFLock_FW
0xff86c8e0,PT_UnlockAF_FW
0xff86c8f0,PT_DoAELock_FW
0xff86c900,PT_UnlockAE_FW
0xff86c930,PT_MFOn_FW
0xff86c940,PT_MFOff_FW
0xff86c950,PT_SetLtKids_FW
0xff86c958,SS.Create_FW
0xff86f0f0,task_CaptSeq
0xff86f0f0,task_CaptSeqTask
0xff874e50,task_SsTask
0xff875478,PT_PlaySound
0xff87824c,ExecuteShutDownPropertyService_FW
0xff87858c,WriteToRom_FW
0xff87861c,EraseRom_FW
0xff8786d0,GetRomID_FW
0xff878874,UnLoadScript_FW
0xff878960,Printf_FW
0xff87896c,LoadScript_FW
0xff878fe8,ExMem.View_FW
0xff8794c4,ExMem.AllocUncacheable_FW
0xff8795fc,ExMem.FreeUncacheable_FW
0xff879610,exmem_alloc
0xff879678,ExMem.AllocCacheable_FW
0xff879688,exmem_free
0xff879700,ExMem.FreeCacheable_FW
0xff87a21c,SetHPTimerAfterNow
0xff87a29c,SetHPTimerAfterTimeout
0xff87a324,CancelHPTimer
0xff87ab14,RegisterEventProcedure
0xff87ac3c,ExecuteEventProcedure
0xff87acb4,ExecuteEventProcedure_FW
0xff87b57c,ExportToEventProcedure_FW
0xff87b588,CreateProxyOfEventProcedure_FW
0xff87b5e0,DeleteProxyOfEventProcedure_FW
0xff87b800,PutsCameraLogEvent_FW
0xff87b844,ShowCameraLogInfo_FW
0xff87b8b0,ShowCameraLog_FW
0xff87b900,StartCameraLog_FW
0xff87bac8,StopCameraLog_FW
0xff87bb28,LogCameraEvent
0xff87bfc0,task_OpePlay
0xff87c194,OpLog.Stop_FW
0xff87c1c0,OpLog.WriteToROM_FW
0xff87c1f0,j_OpLog.WriteToROM_FW
0xff87c224,OpLog.ReadFromROM_FW
0xff87c28c,OpLog.ReadFromSD_FW
0xff87c6bc,OpLog.WriteToSD_FW
0xff87cc04,OpLog.Get_FW
0xff87cc24,OpLog.GetUsrSet_FW
0xff87cce4,OpLog.Play_FW
0xff87cefc,OpLog.Start_FW
0xff87cfdc,OpLog.Terminate_FW
0xff87d700,task_WdtPrint
0xff87d7b4,task_WdtReset
0xff87d874,StartWDT_FW
0xff87d8d4,StopWDT_FW
0xff87d9d4,GetBuildDate_FW
0xff87d9dc,GetBuildTime_FW
0xff87d9e4,GetFirmwareVersion_FW
0xff87da54,GetInternalFirmwareVersion_FW
0xff87daec,CheckSumAll_FW
0xff87dcd4,RomCheckSum_FW
0xff87e580,task_EvShel
0xff87e634,NewTaskShell
0xff87e694,NewTaskShell_FW
0xff87eb2c,SetPropertyCase
0xff87ecb4,GetPropertyCase
0xff87f6f4,StartPlayModeMenu_FW
0xff87f710,StartRecModeMenu
0xff87f710,StartRecModeMenu_FW
0xff87f7c8,ShutdownRecModeMenu_FW
0xff87f970,ShutdownPlayModeMenu_FW
0xff87fa44,ShutdownPlayModeMenuWithoutPbRedraw_FW
0xff881bec,task_CtrlSrv
0xff88245c,CreateController_FW
0xff882538,DeleteController_FW
0xff882634,MoveControllerToTopOfZOrder_FW
0xff8826dc,CtrlMan_ChangeZOrder_FW
0xff882774,GetSelfControllerHandle_FW
0xff882c54,PostLogicalEventForNotPowerType
0xff882c54,PostLogicalEventForNotPowerType_FW
0xff882ca0,PostLogicalEventToUI
0xff882ca0,PostLogicalEventToUI_FW
0xff882e60,PostEventShootSeqToUI_FW
0xff882ebc,ShowLogicalEventName_FW
0xff882f9c,set_control_event
0xff88326c,IsControlEventActive_FW
0xff8832dc,SetLogicalEventActive
0xff8832dc,UiEvnt_SetLogicalEventActive_FW
0xff88332c,SetScriptMode
0xff88332c,SetScriptMode_FW
0xff883390,UiEvnt_StartDisguiseCradleStatus_FW
0xff8833a0,UiEvnt_StopDisguiseCradleStatus_FW
0xff8834b4,UnlockMainPower
0xff8834b4,UnlockMainPower_FW
0xff883560,LockMainPower
0xff883560,LockMainPower_FW
0xff8835d4,SetAutoShutdownTime
0xff8835d4,SetAutoShutdownTime_FW
0xff8838e8,PTM_AllResetToFactorySetting_FW
0xff8838f8,j_PTM_AllReset_FW
0xff883c20,PTM_SetCurrentCaptureMode_FW
0xff883d60,j_PTM_GetWorkingCaptureMode_FW
0xff883d64,j_PTM_SetCurrentItem_FW
0xff883d70,PTM_GetCurrentItem_FW
0xff883ddc,j_PTM_NextItem_FW
0xff883de0,j_PTM_PrevItem_FW
0xff883df4,j_PTM_IsEnableItem_FW
0xff883df8,j_PTM_SetProprietyEnable_FW
0xff883e10,j_PTM_BackupUIProperty_FW
0xff883e14,PTM_RestoreUIProperty_FW
0xff8860f0,UIFS_CancelStoreLensTimer_FW
0xff8862bc,PB2Rec
0xff8862fc,Rec2PB
0xff886b20,task_InitFileModules
0xff886b58,task_CommonDrivers
0xff88a500,SetCurrentCaptureModeType
0xff88a500,SetCurrentCaptureModeType_FW
0xff88a590,GetCurrentCaptureModeType_FW
0xff88cf20,UIFS_IsAvailableShots_FW
0xff88e55c,UIFS_StartMovieRecord_FW
0xff88e580,UIFS_StopMovieRecord_FW
0xff88f1b0,task_FaceFrame
0xff88f5a4,task_DSITask
0xff89019c,TurnOnBackLight
0xff8901b4,TurnOffBackLight
0xff89484c,GUISrv_StartGUISystem
0xff89484c,GUISrv_StartGUISystem_FW
0xff894f98,RefreshPhysicalScreen
0xff895fb8,ScreenLock
0xff89601c,ScreenUnlock
0xff8964e8,mktime_ext
0xff896534,strftime
0xff896b5c,atol_FW
0xff896b68,strcat
0xff89a470,GetCurrentShutterSpeed_FW
0xff89a76c,GetCurrentExposureTime_FW
0xff89efb8,task_WBIntegTask
0xff8a7200,task_BrtMsrTask
0xff8aa5ac,ExpCtrlTool.SetExpMode_FW
0xff8aece8,task_ExpDrv
0xff8aece8,task_ExpDrvTask
0xff8bf2c4,task_WBLPFace
0xff8c1a7c,ReloadWBAdjustment_FW
0xff8c225c,task_OBCtrlTask
0xff8c379c,task_DetectMoveTask
0xff8c4af0,task_ChaseFrame
0xff8c7140,task_DispFace
0xff8c8e6c,task_DevelopModule
0xff8c9c00,task_EFChargeT
0xff8c9f4c,EF.IsChargeFull_FW
0xff8c9f4c,IsStrobeChargeCompleted
0xff8cc1d4,task_AfIntSrvTask
0xff8e35b0,E2LatOn_FW
0xff8e37f4,ActivateImager_FW
0xff8e388c,ActivateImagerXOne_FW
0xff8e3974,QuietImager_FW
0xff8e3a64,CancelImager_FW
0xff8e3a88,ChangeImagerToWholeParallel_FW
0xff8e3a90,ChangeImagerToWholeParallelBP_FW
0xff8e3a98,ChangeImagerToWholeParallelBPOne_FW
0xff8e3aa0,ChangeImagerToCombiParallel_FW
0xff8e3aa8,ChangeImagerToWideDraft_FW
0xff8e3ab0,ChangeImagerToFocusJet_FW
0xff8e3ab8,ChangeImagerToMangoPudding_FW
0xff8e3ac0,ChangeImagerToSuperWideDraft_FW
0xff8e3ac8,ChangeImagerToHoneyFlash_FW
0xff8e3ad0,ChangeImagerToMillefeAdjust_FW
0xff8e3ad8,ChangeImagerToDigiconMode_FW
0xff8e3ad8,ChangeImagerToOITA_XAVIER_FW
0xff8e3ae0,ChangeImagerToAlternateDraft_FW
0xff8e3ae8,ChangeImagerToUltraGhostQ_FW
0xff8e3af0,ChangeImagerToMontblancWhole_FW
0xff8e3af8,ChangeImagerToMontblancMillefe_FW
0xff8e3b00,ChangeImagerToMontblancMovie_FW
0xff8e3b08,ChangeImagerToHarleyDavidson_FW
0xff8e3b10,ChangeImagerToMachDashV_FW
0xff8e3b18,ChangeImagerToFantaJungle_FW
0xff8e3b20,ChangeImagerToHoneyFlashDark_FW
0xff8e3b28,ChangeImagerToRoadKing_FW
0xff8e3b3c,CancelImageDrive_FW
0xff8e3b5c,j_E2LatOn_FW
0xff8e4d64,ReloadCdsAdjustment_FW
0xff8e5570,task_SsgMainTask
0xff8e5728,task_SsgPeriodTask
0xff8e92c0,task_TgTask
0xff8efcf8,task_LiveImageTask
0xff8f0bbc,task_PrcssFil
0xff8f1ed8,task_SyncPeriod
0xff8f1f60,task_SynchTask
0xff8f3cbc,task_TimerUtility
0xff8fc598,task_NormalThumbCache
0xff900268,task_TrnsCtrlTask
0xff90a388,LcdCon_SetLcdBackLightBrightness_FW
0xff90a3b4,LcdCon_SetLcdBackLightParameter_FW
0xff90a408,LcdCon_GetLcdBackLightParameter_FW
0xff90a44c,LcdCon_ShowLcdBackLightParameter_FW
0xff90a48c,LcdCon_SaveLcdBackLightParameter_FW
0xff90a684,LcdCon_SetLcdDriver_FW
0xff90a6e4,LcdCon_SetLcdAdjParameter_FW
0xff90a794,LcdCon_GetLcdAdjParameter_FW
0xff90a7dc,LcdCon_ShowLcdAdjParameter_FW
0xff90a81c,LcdCon_SaveLcdAdjParameter_FW
0xff90a838,LcdCon_SetLcdParameter_FW
0xff90a9b4,LcdCon_GetLcdParameter_FW
0xff90a9fc,LcdCon_ShowLcdParameter_FW
0xff90aa3c,LcdCon_SaveLcdParameter_FW
0xff90aa84,task_LcdConTask
0xff90ab74,LcdCon_StartLcdPeriodicalSetting_FW
0xff90aba8,LcdCon_StopLcdPeriodicalSetting_FW
0xff90cc50,GetDriverInfoEvent_FW
0xff90ceac,GetLatestHVPosition_FW
0xff90cf24,EngApp.Delete_FW
0xff90cf78,EngApp.Create_FW
0xff911e18,task_SceneDetectTask
0xff912714,task_ChaseTask
0xff912a1c,Scene.ForbidContiSceneDetect_FW
0xff912a48,Scene.TestSunset_FW
0xff912a74,Scene.TestBabySmile_FW
0xff912aa4,Scene.TestBabySleep_FW
0xff912ad4,Scene.TestHumanSmile_FW
0xff912b04,Scene.TestHumanSleep_FW
0xff912b34,Scene.TestKidMove_FW
0xff91424c,task_MotionVector
0xff928380,task_CorctTask
0xff92b2cc,task_Fencing
0xff92c890,PrintAllAEIntegData_FW
0xff92d3a0,AbortAEIntegralValue_FW
0xff92d3f0,SetAEIntegStrobeProperty_FW
0xff92d478,SetAEIntegCorrectProperty_FW
0xff92d4d4,SetAEIntegralValueProperty_FW
0xff92d514,SetAEIntegralGetaTime_FW
0xff92d934,GetAEIntegralServiceMode_FW
0xff92d940,GetAEIntegWinData_FW
0xff92d950,j_GetAEIntegWinData_FW
0xff92d954,GetAEIntegWinDataWithMode_FW
0xff92da40,GetAEIntegralValueWithFix_FW
0xff92db64,GetAllAEIntegralAllValueWithFix_FW
0xff92dc34,GetOnlyAEIntegData_FW
0xff92dca4,SetWhiteCoefficient_FW
0xff92dd1c,SetAEIntegWindowsMode_FW
0xff92dd70,SetAEIntegValueBit_FW
0xff92dd8c,GetAEIntegValueBit_FW
0xff92dd98,StopAEIntegralService_FW
0xff92e0e4,StartAEIntegralService_FW
0xff92e0f0,SetLineDefMarkThroughMode_FW
0xff92e11c,SetAEIntegAverageOBData_FW
0xff92e198,SetAdjAEIntegSmearLimitter_FW
0xff92e1a8,SetDefaultAEIntegSmearLimitter_FW
0xff92e1b8,AttachIntegCrawData_FW
0xff92e808,LoadParamDataFromAdjTableBin_FW
0xff92e908,LoadDataFromAdjTableBin_FW
0xff92e9f4,DeviceUniqueIDCheckSum_FW
0xff92eb44,SaveFactoryIDData_FW
0xff92eb64,LoadFactoryIDData_FW
0xff92ed14,PrintFirmVersion_FW
0xff92ed48,PrintFaexeVersioin_FW
0xff92ed58,CreateFADBGSingalID_FW
0xff92ed68,FADBGSingal_FW
0xff92ee08,FADBGPrintf_FW
0xff92ef88,FAPrintf_FW
0xff92efd8,OutputLogToFile_FW
0xff92f0e4,StopLogOut_FW
0xff92f404,GetLogData_FW
0xff92f40c,GetLogDataOnlyAddMemory_FW
0xff92f414,ActivateAdjLog_FW
0xff92f428,InactivateAdjLog_FW
0xff92f43c,StartLogOut_FW
0xff92f454,IsLogOutType_FW
0xff92f460,GetCurrentMaximumLogSize_FW
0xff931544,SetDefaultRecParameter_FW
0xff931870,EnableDebugLogMode_FW
0xff931884,DisableDebugLogMode_FW
0xff933898,task_dccdCalcTask
0xff9377b0,GetImageFolder
0xff93e798,task_DPOFTask
0xff94066c,File.ClearExifInfo_FW
0xff94077c,File.Delete_AllImg_FW
0xff9407e0,File.Create_FW
0xff947514,WriteSDCard
0xff952ee8,StartCzTuning_FW
0xff952ef0,MoveCzPeakPositon_FW
0xff952ef8,CzDebugPrint_FW
0xff952ef8,SetCzDebugFocusMode_FW
0xff952ef8,SetCzDebugSubjectDistance_FW
0xff952f0c,CzDebugPrintToFile_FW
0xff953f34,GetFocusLensPullInMaxSpeed_FW
0xff954254,GetCurrentTargetDistance_FW
0xff954254,GetFocusLensSubjectDistance
0xff9542bc,GetCurrentFocusLensPosition_FW
0xff9542bc,GetCurrentFocusPosition_FW
0xff9546a4,GetFocusLensSubjectDistanceFromLens
0xff954710,IsFocusLensOutSidePosition_FW
0xff954734,GetFocusResetPosition_FW
0xff9547a0,GetFocusDefaultResetPosition_FW
0xff95480c,ReloadFocusLensAdjustment_FW
0xff954ffc,GetCurrentAvValue
0xff954ffc,GetCurrentAvValue_FW
0xff954ffc,GetIrisAv_FW
0xff9551d4,ReloadIrisAdjustment_FW
0xff9551e8,ReloadGetaAdjustment_FW
0xff955260,GetLensErrorStatus_FW
0xff95574c,GetZoomPiSensorLevel_FW
0xff955794,GetFocusPiSensorLevel_FW
0xff956154,GetMechaShutterMoveTime_FW
