0xffc180b8,_GetSystemTime
0xffc0bc7c,CreateRecursiveLockStrictly
0xffc0b8e0,CreateTask
0xffc0b8e0,CreateTask_FW
0xffc0bbb8,CreateTaskStrictly
0xffc0bdb8,DebugAssert
0xffc5a4d8,DeleteController_FW
0xffc134ec,DeleteDirectory_Fut
0xffc1716c,DeleteEventFlag
0xffc13408,DeleteFile_Fut
0xffd21194,DeleteLanguageMenu_FW
0xffc175ac,DeleteMessageQueue
0xffc53da4,DeleteProxyOfEventProcedure_FW
0xffc17900,DeleteRecursiveLock
0xffc0b6c8,DeleteSemaphore
0xffc0b6c8,DeleteSemaphore_FW
0xffd82bf8,DevelopTool.DevelopTest_FW
0xffcd58f4,DeviceUniqueIDCheckSum_FW
0xffcd886c,DisableDebugLogMode_FW
0xffdd68e4,DisableFocusLens_FW
0xffdd6964,DisableFocusLensGainLock_FW
0xffdd6990,DisableFocusLensWaveLock_FW
0xffdd6d5c,DisableFocusPiCircuit_FW
0xffdd6d3c,DisableMechaCircuit_FW
0xffdd6da4,DisableZoomEncoderCircuit_FW
0xffdd7040,DisableZoomLensEncoderPowerControl_FW
0xffdd6d80,DisableZoomPiCircuit_FW
0xffc2cfb0,DispCon_GetLcdGainAdjParameter_FW
0xffc2cdf8,DispCon_GetVideoAdjParameter_FW
0xffc2d024,DispCon_SaveLcdGainAdjParameter_FW
0xffc2ce58,DispCon_SaveVideoAdjParameter_FW
0xffc2ccd8,DispCon_SetDisplayType_FW
0xffc2ced0,DispCon_SetLcdGainAdjParameter_FW
0xffc2cd18,DispCon_SetMaxBackLightBrightness_FW
0xffc2cd98,DispCon_SetVideoAdjParameter_FW
0xffc2cc14,DispCon_ShowBitmapColorBar
0xffc2cc14,DispCon_ShowBitmapColorBar_FW
0xffc2cbf8,DispCon_ShowBlackChart_FW
0xffc2ca84,DispCon_ShowColorBar_FW
0xffc2cc74,DispCon_ShowCustomColorBar_FW
0xffc2cae0,DispCon_ShowFiveStep_FW
0xffc2d000,DispCon_ShowLcdGainAdjParameter_FW
0xffc2ce40,DispCon_ShowVideoAdjParameter_FW
0xffc2cbc0,DispCon_ShowWhiteChart_FW
0xffc2cd08,DispCon_TurnOffDisplay_FW
0xffc2ccf8,DispCon_TurnOnDisplay_FW
0xffd0b1a4,DispDev.Create_FW
0xffd095a4,DispDev_EnableEventProc_FW
0xffc33828,DisplayFactoryMode_FW
0xffc15c80,DoAELock
0xffc157a0,DoAFLock
0xffd09694,Driver.Create_FW
0xffd09694,Driver_EnableEventProc_FW
0xffc04e1c,drysh_FW
0xffd098d8,Dump32_FW
0xffd098c8,Dump_FW
0xffc34a50,DumpAdjMirror_FW
0xffdabe54,DumpTransparentMemoryItem_FW
0xffc99b44,E2LatOn_FW
0xffd8923c,EF.AdjPreFlash_FW
0xffc97108,EF.IsChargeFull_FW
0xffd89280,EF.SetChargeMode_FW
0xffd8914c,EF.SetEFChargeTimeOut_FW
0xffd89294,EF.SetFlashTime_FW
0xffd89224,EF.SetMainFlashTime_FW
0xffd890ec,EF.StartEFCharge_FW
0xffd8919c,EF.StartInternalMainFlash_FW
0xffd89160,EF.StartInternalPreFlash_FW
0xffd8913c,EF.StopEFCharge_FW
0xffcd8858,EnableDebugLogMode_FW
0xffdd6898,EnableFocusLens_FW
0xffdd6930,EnableFocusLensGainLockWithVoltage_FW
0xffdd6974,EnableFocusLensWaveLock_FW
0xffdd6d4c,EnableFocusPiCircuit_FW
0xffc0b600,EnableInterrupt
0xffdd6d2c,EnableMechaCircuit_FW
0xffdd6d94,EnableZoomEncoderCircuit_FW
0xffdd7030,EnableZoomLensEncoderPowerControl_FW
0xffdd6d70,EnableZoomPiCircuit_FW
0xffd0a674,EndClockMode_FW
0xffc12b5c,EngDrvBits
0xffda7054,EngDrvBits_FW
0xffc12b40,EngDrvIn
0xffda7044,EngDrvIn_FW
0xffc12b28,EngDrvOut
0xffda7028,EngDrvOut_FW
0xffc12b48,EngDrvRead
0xffda704c,EngDrvRead_FW
0xffda7078,EngDrvReadDump_FW
0xffd0b254,EngineDriver.Create_FW
0xffc15a90,EnterToCompensationEVF
0xffc34a44,EraseAdjustmentArea_FW
0xffc4dfdc,EraseLogSector_FW
0xffd11254,EraseSectorOfRom_FW
0xffd098b4,EraseSignature_FW
0xffc04e98,err_init_task
0xffdd6114,EscapeFocusLens_FW
0xffdda8d4,exec_FW
0xffc39260,Executedccd_FW
0xffc38c64,ExecuteDigicon_FW
0xffc53308,ExecuteEventProcedure
0xffc53380,ExecuteEventProcedure_FW
0xffd2a014,ExecuteResetFactoryWithRomWrite_FW
0xffc3896c,ExecuteTestRec_FW
0xffc38a38,ExecuteTestRecCF_FW
0xffc15bdc,ExitFromCompensationEVF
0xffc0bb70,ExitTask
0xffc0bb70,ExitTask_FW
0xffc51b58,ExMem.AllocCacheable_FW
0xffc5199c,ExMem.AllocUncacheable_FW
0xffc51c64,ExMem.FreeCacheable_FW
0xffc51adc,ExMem.FreeUncacheable_FW
0xffc511f4,ExMem.View_FW
0xffc51af0,exmem_alloc
0xffc51b68,exmem_free
0xffc142d4,ExMem_FW
0xffc8cafc,ExpCtrlTool.SetExpMode_FW
0xffc218c8,ExpCtrlTool_StartContiAE
0xffc21a0c,ExpCtrlTool_StopContiAE
0xffc53d40,ExportToEventProcedure_FW
0xffd0b180,FA.Create_FW
0xffd0b16c,FA.Delete_FW
0xffcd5c3c,FADBGPrintf_FW
0xffcd5b90,FADBGSingal_FW
0xffcd5dbc,FAPrintf_FW
0xffc13584,Fclose_Fut
0xffc13584,Fclose_Fut_FW
0xffc13770,Feof_Fut
0xffc137ac,Fflush_Fut
0xffc136d8,Fgets_Fut
0xffc59738,FmtMenu_ExecuteQuickFormat_FW
0xffc13544,Fopen_Fut
0xffc13544,Fopen_Fut_FW
0xffc13630,Fread_Fut
0xffc13630,Fread_Fut_FW
0xffc03a98,free
0xffdac3f8,FreeBufferForSoundRec_FW
0xffdda860,FreeMemory
0xffdda860,FreeMemory_FW
0xffc17e4c,FreeUncacheableMemory
0xffc13724,Fseek_Fut
0xffc13724,Fseek_Fut_FW
0xffc13684,Fwrite_Fut
0xffc13684,Fwrite_Fut_FW
0xffc2e810,GetAdChValue_FW
0xffc34aa8,GetAdjTableMapVersion_FW
0xffc34ab8,GetAdjTableValueVersion_FW
0xffc34a74,GetAdjTableVersion_FW
0xffc2e808,GetAdVBattBottom_FW
0xffc32bd8,GetBatteryTemperature
0xffc32bd8,GetBatteryTemperature_FW
0xffc55d68,GetBuildDate_FW
0xffc55d70,GetBuildTime_FW
0xffc32b68,GetCCDTemperature
0xffc32b68,GetCCDTemperature_FW
0xffc0c758,GetCh_FW
0xffd032e4,GetCurrentAvValue
0xffc618bc,GetCurrentCaptureModeType_FW
0xffc39384,GetdccdFilterValue_FW
0xffc392f0,GetdccdImage_FW
0xffd81edc,GetDefectCount_FW
0xffc11c08,GetDialEventId_FW
0xffc3c8d0,GetDrive_ClusterSize
0xffc3c938,GetDrive_FreeClusters
0xffc3c904,GetDrive_TotalClusters
0xffc17424,GetEventFlagValue
0xffc55d78,GetFirmwareVersion_FW
0xffdccfbc,GetFocusLensCurrentPosition_FW
0xffdcd40c,GetFocusLensDriveVoltage_FW
0xffdcd4d4,GetFocusLensHoldVoltage_FW
0xffdd6a48,GetFocusLensLoadCamTable_FW
0xffdd69d8,GetFocusLensLoadSubjectDistance_FW
0xffdd6b34,GetFocusLensMoveMaxPosition_FW
0xffdd6b4c,GetFocusLensMoveMinPosition_FW
0xffdd69d0,GetFocusLensPositionRatio_FW
0xffdcc824,GetFocusLensResetDefaultPosition_FW
0xffdcc814,GetFocusLensResetPosition_FW
0xffe3fe3c,GetFocusLensResetVoltage_FW
0xffdcd488,GetFocusLensSettingWaitVoltage_FW
0xffd023dc,GetFocusLensSubjectDistance
0xffdd69ac,GetFocusLensSubjectDistance_FW
0xffd026e8,GetFocusLensSubjectDistanceFromLens
0xffdd69c8,GetFocusLensSubjectDistanceNumber_FW
0xffd03b08,GetFocusPiSensorLevel_FW
0xffd032e4,GetIrisAv_FW
0xffc30b18,GetKbdState
0xffc443a4,GetLensErrorStatus_FW
0xffcd606c,GetLogData_FW
0xffcd6124,GetLogDataOnlyAddMemory_FW
0xffc4dd98,GetLogToFile_FW
0xffd04198,GetMechaShutterStatus_FW
0xffc03c40,GetMemInfo
0xffc26c38,GetMontblancVSize_FW
0xffc17840,GetNumberOfPostedMessages
0xffc32c48,GetOpticalTemperature
0xffc32c48,GetOpticalTemperature_FW
0xffd29c9c,GetParameterData
0xffc56f08,GetPropertyCase
0xffc11be4,GetSDDetect_FW
0xffc11bec,GetSDProtect
0xffc11bec,GetSDProtect_FW
0xffc5a7a0,GetSelfControllerHandle_FW
0xffc0b87c,GetSemaphoreValue
0xffc0b5dc,GetSRAndDisableInterrupt
0xffc0c7a8,GetStringWithPrompt_FW
0xffc11ab4,GetSwitchStatus_FW
0xffdda8c0,GetSystemTime
0xffdda8c0,GetSystemTime_FW
0xffd15178,GetTimeOfSystem_FW
0xffdabf38,GetTransparentMemory_FW
0xffdabf7c,GetTransparentMemoryPosition_FW
0xffdabf24,GetTransparentMemorySize_FW
0xffca18c0,GetVRAMHPixelsSize
0xffca18cc,GetVRAMVPixelsSize
0xffdd0e70,GetZoomActuatorCurrentPosition_FW
0xffdd0e5c,GetZoomActuatorSpeedPPS_FW
0xffd060a0,GetZoomLensCurrentPoint
0xffd060a0,GetZoomLensCurrentPoint_FW
0xffdd1c94,GetZoomLensCurrentPosition
0xffd06078,GetZoomLensCurrentPosition_FW
0xffd06a04,GetZoomLensMechaEdgePosition_FW
0xffd0645c,GetZoomLensTelePoint_FW
0xffd03ac0,GetZoomPiSensorLevel_FW
0xffc0b844,GiveSemaphore
0xffc0b844,GiveSemaphore_FW
0xffc5b804,HardwareDefect_FW
0xffc5b7b4,HardwareDefectWithRestart_FW
0xffcd61a0,InactivateAdjLog_FW
0xffd0b144,InitializeAdjustmentFunction_FW
0xffd0b0d4,InitializeAdjustmentSystem_FW
0xffc38af0,Initializedccd_FW
0xffcb7cc4,InitializeDCPClassFunctions_FW
0xffc38af0,InitializeDigicon_FW
0xffdac4f4,InitializeSoundRec_FW
0xffc38724,InitializeTestRec_FW
0xffc5b294,IsControlEventActive_FW
0xffc33b78,IsDUIDFixFlag_FW
0xffc33b48,IsFactoryMode_FW
0xffc44380,IsLensOutside_FW
0xffcd61cc,IsLogOutType_FW
0xffc97108,IsStrobeChargeCompleted
0xffdd0868,IsZoomActuatorResetSensorPlusSide_FW
0xffd09618,j_BeepDrive_FW
0xffd8a88c,j_E2LatOn_FW
0xffd89238,j_EF.IsChargeFull_FW
0xffd09938,j_exec_FW
0xffc142cc,j_ExMem.AllocCacheable_FW
0xffc142c4,j_ExMem.AllocUncacheable_FW
0xffc142d0,j_ExMem.FreeCacheable_FW
0xffc142c8,j_ExMem.FreeUncacheable_FW
0xffc142c0,j_ExMem.View_FW
0xffd09614,j_GetAdChValue_FW
0xffd09610,j_GetAdVBattBottom_FW
0xffc32d04,j_GetBatteryTemperature_FW
0xffc32d00,j_GetCCDTemperature_FW
0xffd09690,j_GetDialEventId_FW
0xffdd69a0,j_GetFocusLensCurrentPosition_FW
0xffdd6a7c,j_GetFocusLensDriveVoltage_FW
0xffdd6af4,j_GetFocusLensHoldVoltage_FW
0xffdd69a8,j_GetFocusLensResetDefaultPosition_FW
0xffdd69a4,j_GetFocusLensResetPosition_FW
0xffdd6b30,j_GetFocusLensResetVoltage_FW
0xffdd6ab8,j_GetFocusLensSettingWaitVoltage_FW
0xffdd6d6c,j_GetFocusPiSensorLevel_FW
0xffdd6c2c,j_GetIrisAv_FW
0xffdd6d0c,j_GetLensErrorStatus_FW
0xffdd6f54,j_GetMechaShutterStatus_FW
0xffc32cfc,j_GetOpticalTemperature_FW
0xffd09678,j_GetSDDetect_FW
0xffd0967c,j_GetSDProtect_FW
0xffd09664,j_GetSwitchStatus_FW
0xffdd0e68,j_GetZoomActuatorCurrentPosition_FW
0xffdd7298,j_GetZoomLensCurrentPoint_FW
0xffdd72c0,j_GetZoomLensCurrentPosition_FW
0xffdd72c8,j_GetZoomLensMechaEdgePosition_FW
0xffdd72c4,j_GetZoomLensTelePoint_FW
0xffdd6d90,j_GetZoomPiSensorLevel_FW
0xffcb7984,j_InitializeDCPClassFunctions_FW
0xffdd6d08,j_IsLensOutside_FW
0xffdd0e6c,j_IsZoomActuatorResetSensorPlusSide_FW
0xffd09620,j_LEDDrive_FW
0xffd8f080,j_LiveImageTool.GetDzoomPosition_FW
0xffc13d64,j_Lseek_FW
0xffd098ac,j_MemoryChecker_FW
0xffd098a8,j_MonSelEvent_FW
0xffc142bc,j_NewTaskShell_FW
0xffd09920,j_Peek16_FW
0xffd0991c,j_Peek32_FW
0xffd09924,j_Peek8_FW
0xffd098a4,j_Printf_FW
0xffc5ba28,j_PTM_AllReset_FW
0xffc5bf54,j_PTM_BackupUIProperty_FW
0xffc5bea8,j_PTM_GetWorkingCaptureMode_FW
0xffc5bf38,j_PTM_IsEnableItem_FW
0xffc5bf24,j_PTM_NextItem_FW
0xffc5bf28,j_PTM_PrevItem_FW
0xffc5beac,j_PTM_SetCurrentItem_FW
0xffc5bf3c,j_PTM_SetProprietyEnable_FW
0xffc1423c,j_PutsCameraLogEvent_FW
0xffc13c04,j_Read_FW
0xffd098c4,j_SDump_FW
0xffc14230,j_ShowCameraLog_FW
0xffc14234,j_ShowCameraLogInfo_FW
0xffc1422c,j_StartCameraLog_FW
0xffc14238,j_StopCameraLog_FW
0xffc0d8a4,j_strcmp_FW
0xffd0a65c,j_UIFS_Capture_FW
0xffd0a660,j_UIFS_CaptureNoneStop_FW
0xffd0a5a4,j_UIFS_MoveZoomTo_FW
0xffd0a664,j_UIFS_StartMovieRecord_FW
0xffd0a668,j_UIFS_StopMovieRecord_FW
0xffd0a680,j_UIFS_WriteFirmInfoToFile_FW
0xffd0961c,j_VbattGet_FW
0xffd098b0,j_VerifyByte_FW
0xffc11d08,kbd_p1_f
0xffc11d14,kbd_p1_f_cont
0xffc11548,kbd_p2_f
0xffc11c0c,kbd_read_keys
0xffc30728,kbd_read_keys_r2
0xffcc36e8,LcdCon_GetLcdAdjParameter_FW
0xffcc3ab8,LcdCon_GetLcdBackLightParameter_FW
0xffcc38e0,LcdCon_GetLcdParameter_FW
0xffcc3770,LcdCon_SaveLcdAdjParameter_FW
0xffcc3b3c,LcdCon_SaveLcdBackLightParameter_FW
0xffcc3968,LcdCon_SaveLcdParameter_FW
0xffcc3660,LcdCon_SetLcdAdjParameter_FW
0xffcc3a30,LcdCon_SetLcdBackLightBrightness_FW
0xffcc3a60,LcdCon_SetLcdBackLightParameter_FW
0xffcc3620,LcdCon_SetLcdDriver_FW
0xffcc378c,LcdCon_SetLcdParameter_FW
0xffcc3730,LcdCon_ShowLcdAdjParameter_FW
0xffcc3afc,LcdCon_ShowLcdBackLightParameter_FW
0xffcc3928,LcdCon_ShowLcdParameter_FW
0xffe061e8,LCDMsg_ChangeColor_FW
0xffe06004,LCDMsg_Create_FW
0xffe05d00,LCDMsg_Delete_FW
0xffe05cc0,LCDMsg_Move_FW
0xffe06104,LCDMsg_SetNum_FW
0xffe06114,LCDMsg_SetStr_FW
0xffe060b4,LCDMsg_SwDisp_FW
0xffc303c0,LEDDrive
0xffc303c0,LEDDrive_FW
0xffd81efc,LineDefDetect_FW
0xffd81f60,LineKizuCheck_FW
0xffd8f010,LiveImageTool.ChangeDzoom_FW
0xffd8efa0,LiveImageTool.DzoomTele_FW
0xffd8efc0,LiveImageTool.DzoomWide_FW
0xffca178c,LiveImageTool.GetDzoomPosition_FW
0xffd8f084,LiveImageTool.Jump_FW
0xffd8eff0,LiveImageTool.Pause_FW
0xffd8f000,LiveImageTool.Resume_FW
0xffd8e95c,LiveImageTool.StartEVF_FW
0xffd8e9d8,LiveImageTool.StartEVFFocusJet_FW
0xffd8ea54,LiveImageTool.StartEVFMF_FW
0xffd8eea8,LiveImageTool.StartEVFMovHD_FW
0xffd8ed34,LiveImageTool.StartEVFMovQQVGA_FW
0xffd8ebbc,LiveImageTool.StartEVFMovQVGA60_FW
0xffd8ec78,LiveImageTool.StartEVFMovQVGA_FW
0xffd8eae8,LiveImageTool.StartEVFMovVGA_FW
0xffd8edf0,LiveImageTool.StartEVFMovXGA_FW
0xffd8ef70,LiveImageTool.StartMjpegMaking_FW
0xffd8efe0,LiveImageTool.StopDzoom_FW
0xffd8ef60,LiveImageTool.StopEVF_FW
0xffd8ef90,LiveImageTool.StopMjpegMaking_FW
0xffc34b88,LoadAdjustmentTable_FW
0xffc34da4,LoadAdjustmentValue_FW
0xffcd57f8,LoadDataFromAdjTableBin_FW
0xffcd56f4,LoadParamDataFromAdjTableBin_FW
0xffc506f4,LoadScript_FW
0xffc51028,LocalTime
0xffc5b568,LockMainPower
0xffc5b568,LockMainPower_FW
0xffc542d8,LogCameraEvent
0xffc13c9c,Lseek
0xffc13c9c,lseek
0xffc13c9c,Lseek_FW
0xffddafdc,MakeBootDisk_FW
0xffc1347c,MakeDirectory_Fut
0xffddaff0,MakeScriptDisk_FW
0xffc039c4,malloc
0xffd09454,Mecha.Create_FW
0xffd094a8,MechaReset_FW
0xffd094b4,MechaTerminate_FW
0xffd09418,MechaUnRegisterEventProcedure_FW
0xffc0d90c,memcmp
0xffc0d90c,memcmp_FW
0xffc6e698,memcpy
0xffc6e698,memcpy_FW
0xffdda064,MemoryChecker_FW
0xffd67210,memset
0xffd67210,memset_FW
0xffc00bd0,memShow_FW
0xffc13f00,mkdir
0xffc6ef04,mktime_ext
0xffdda948,MonSelEvent_FW
0xffc5a65c,MoveControllerToTopOfZOrder_FW
0xffdd5f9c,MoveCZToPoint_FW
0xffdd6004,MoveCZToTele_FW
0xffdd5fd4,MoveCZToWide_FW
0xffe3f2b4,MoveDCMotorCCW_FW
0xffe3f244,MoveDCMotorCW_FW
0xffdd651c,MoveFocusActuator_FW
0xffe28454,MoveFocusLensToDistance
0xffdd618c,MoveFocusLensToTerminate_FW
0xffdd61e8,MoveFocusLensWithDistance_FW
0xffdd62f4,MoveFocusLensWithPosition_FW
0xffdd6408,MoveFocusLensWithPositionWithoutBacklash_FW
0xffdd6bd4,MoveIrisToTerminatePosition_FW
0xffdd6bdc,MoveIrisWithAv
0xffdd6bdc,MoveIrisWithAv_FW
0xffdd6c04,MoveIrisWithAvWithoutBacklash_FW
0xffdd6c88,MoveLensToFirstPoint_FW
0xffdd6cd0,MoveLensToTerminatePoint_FW
0xffdd0e00,MoveZoomActuator_FW
0xffdd7228,MoveZoomLensToMechaEdge_FW
0xffdd71e8,MoveZoomLensToTerminatePosition_FW
0xffdd7160,MoveZoomLensWithPoint
0xffdd7160,MoveZoomLensWithPoint_FW
0xffdd71a4,MoveZoomLensWithPosition_FW
0xffc569cc,NewTaskShell
0xffc56a2c,NewTaskShell_FW
0xffd0dc80,NR_GetDarkSubType
0xffd0dc80,NR_GetDarkSubType_FW
0xffd0dcc0,NR_GetDefectCorrectType_FW
0xffd0dc0c,NR_SetDarkSubType
0xffd0dc0c,NR_SetDarkSubType_FW
0xffd0dc54,NR_SetDefectCorrectType_FW
0xffd0dd00,NR_SetLotasPonyType_FW
0xffd09654,OffPrintPhySw_FW
0xffd09644,OnPrintPhySw_FW
0xffc13b34,Open
0xffc09ec4,open
0xffc13b34,Open_FW
0xffc0c808,OpenConsole_FW
0xffdc40cc,OpenFastDir
0xffc14240,OpLog.Create_FW
0xffc550fc,OpLog.Get_FW
0xffc551b8,OpLog.Play_FW
0xffc548a4,OpLog.ReadFromROM_FW
0xffc54924,OpLog.ReadFromSD_FW
0xffc5511c,OpLog.Show_FW
0xffc552ec,OpLog.Start_FW
0xffc54878,OpLog.Stop_FW
0xffc550d4,OpLog.WriteToROM_FW
0xffc54ccc,OpLog.WriteToSD_FW
0xffcd5e0c,OutputLogToFile_FW
0xffc5e188,PB2Rec
0xffdda890,Peek16_FW
0xffdda888,Peek32_FW
0xffdda898,Peek8_FW
0xffd81d24,PointDefDetect_FW
0xffd81e78,PointKizuCheck_FW
0xffd098fc,Poke16_FW
0xffd098ec,Poke32_FW
0xffd0990c,Poke8_FW
0xffc5ac9c,PostEventShootSeqToUI_FW
0xffc5abd8,PostLogicalEventForNotPowerType
0xffc5abd8,PostLogicalEventForNotPowerType_FW
0xffc5ac24,PostLogicalEventToUI
0xffc5ac24,PostLogicalEventToUI_FW
0xffc17764,PostMessageQueue
0xffc0bcf8,PostMessageQueueStrictly
0xffc34dc8,PrintAdjTableMap_FW
0xffc506e8,Printf_FW
0xffcd5b70,PrintFaexeVersioin_FW
0xffcd5b3c,PrintFirmVersion_FW
0xffc462e0,PT_BatLvChange_Low_FW
0xffc462d0,PT_BatLvChange_PreWeak_FW
0xffc462e8,PT_BatLvChange_SysLow_FW
0xffc462d8,PT_BatLvChange_Weak_FW
0xffc4680c,PT_ChangeZoomSpeed_FW
0xffc462b0,PT_CompleteCaptModeChange_FW
0xffc462c0,PT_CompleteCharge_FW
0xffc462c8,PT_CompleteFileWrite_FW
0xffc46278,PT_CompletePreCapt_FW
0xffc46298,PT_CompleteStopDigZoom_FW
0xffc46290,PT_CompleteStopZoom_FW
0xffc462a0,PT_CompleteStoreLens_FW
0xffc462b8,PT_CompleteSynchroWrite_FW
0xffc46840,PT_DoAELock_FW
0xffc46820,PT_DoAFLock_FW
0xffc465ac,PT_EraseAllFile_FW
0xffc463a8,PT_FinishBatteryTest_FW
0xffc463c4,PT_GetBatteryLevel_FW
0xffc466b4,PT_GetLocalDateAndTimeString_FW
0xffc46488,PT_GetLowBatLv_FW
0xffc463d8,PT_GetPreWeakBatLv_FW
0xffc4663c,PT_GetPropertyCaseInt_FW
0xffc464e0,PT_GetSysLowBatLv_FW
0xffc465fc,PT_GetSystemTime_FW
0xffc46430,PT_GetWeakBatLv_FW
0xffc46714,PT_LCD_BkColorDef_FW
0xffc46870,PT_MFOff_FW
0xffc46860,PT_MFOn_FW
0xffc465d4,PT_mod_FW
0xffc467f8,PT_MoveDigitalZoomAt_FW
0xffc467d8,PT_MoveDigitalZoomToTele_FW
0xffc467e8,PT_MoveDigitalZoomToWide
0xffc467e8,PT_MoveDigitalZoomToWide_FW
0xffc467c0,PT_MoveOpticalZoomAt
0xffc467c0,PT_MoveOpticalZoomAt_FW
0xffc46798,PT_MoveOpticalZoomToTele_FW
0xffc467ac,PT_MoveOpticalZoomToWide_FW
0xffc462a8,PT_MovieRecordStopped_FW
0xffc46288,PT_NextShootAvailable_FW
0xffc460d4,PT_PlaySound
0xffc466f8,PT_PlaySound_FW
0xffc46280,PT_RecreviewAvailable_FW
0xffc46610,PT_SetPropertyCaseInt_FW
0xffc4636c,PT_StartBatteryTest_FW
0xffc46850,PT_UnlockAE_FW
0xffc46830,PT_UnlockAF_FW
0xffd28ee0,PTM_AllReset_FW
0xffc5ba18,PTM_AllResetToFactorySetting_FW
0xffd29c0c,PTM_BackupUIProperty_FW
0xffc5beb8,PTM_GetCurrentItem_FW
0xffd29244,PTM_GetWorkingCaptureMode_FW
0xffd29b40,PTM_IsEnableItem_FW
0xffd295f4,PTM_NextItem_FW
0xffd295fc,PTM_PrevItem_FW
0xffc5bf58,PTM_RestoreUIProperty_FW
0xffc5bd90,PTM_SetCurrentCaptureMode_FW
0xffd2925c,PTM_SetCurrentItem_FW
0xffd298f8,PTM_SetProprietyEnable_FW
0xffe267b4,PutInNdFilter,(stubs_entry_2.s)
0xffe267ec,PutOutNdFilter,(stubs_entry_2.s)
0xffc53fbc,PutsCameraLogEvent_FW
0xffd67718,qsort
0xffd8a73c,QuietImager_FW
0xffc0da14,rand
0xffc0a15c,Read
0xffc0a15c,read
0xffc0a15c,Read_FW
0xffdc4160,ReadFastDir
0xffc03b78,realloc
0xffdc8a34,reboot_fw_update
0xffc5e1b8,Rec2PB
0xffdd6dd8,ReceiveMechaCircuitDataAll_FW
0xffc1763c,ReceiveMessageQueue
0xffc0bccc,ReceiveMessageQueueStrictly
0xffc34fb8,RefreshAdjustmentTableMirror_FW
0xffd66e5c,RefreshPhysicalScreen
0xffc531dc,RegisterEventProcedure
0xffc0b5a0,RegisterInterruptHandler
0xffd210d4,RegisterLanguageName_FW
